Item,PRO1Gender,PRO2City,PRO3Age,PRO4Marital,PRO5Retirement,PRO6Religion,PRO7Education,PRO8AnnualIncome,PRO9Career,PRO10CommunityCare,PRO11Long-termCare,PRO12LivingWithChildren,PRO131RetirementIncome,PRO132RetirementIncome,PRO133RetirementIncome,PRO134RetirementIncome,SA11,SA12,SA13,SA14,SA15,SA16,SA21,SA22,SA23,SA24,SA25,SA31,SA32,SA33,SA34,SA35,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,SAT8,SAT9,SAT10,SAT11,SAT12,PP1,PP2,PP3,PP4,PP5,PP6,PP7,PP8,PP9,PP10,PP11,CB1,CB2,CB3,CB4,CB5,CB6,CB7,FI1,FI2,FI3,FI4,FI5,FI6,FI7,FI8
84,2,11,4,3,1,4,1,1,6,0,0,1,1,2,99,99,4,5,5,5,5,2,1,1,1,1,2,4,4,1,5,4,5,1,4,4,4,4,5,5,1,2,4,1,2,5,2,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,2,2,0,0,0,0,0,0,0,0,0
85,2,16,1,1,1,6,3,2,1,0,0,0,1,4,99,99,4,5,5,2,2,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,1,1,1,1,2,1,1,1,1,1,4,4,4,1,2,4,2,0,1,4,1,2,0,6,1
86,2,18,3,3,1,2,1,5,10,0,0,1,1,99,99,99,4,5,3,1,2,5,5,5,5,5,5,5,5,3,4,4,2,4,4,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,4,1,1,1,1,1,5,2,1,1,1,1,5,5,5,5,4,4,1,1,0,0,0,0,0,0,0
87,1,5,1,3,1,2,1,2,7,0,0,1,1,2,3,4,1,4,5,4,4,4,5,5,4,5,5,5,4,4,5,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,3,1,1,1,1,2,1,1,1,1,1,2,4,2,4,4,4,4, ,2,4,1,1, , , 
88,2,6,1,1,0,2,3,5,4,0,0,1,3,99,99,99,5,4,4,5,1,4,5,5,4,5,4,4,4,4,4,4,4,4,5,4,4,2,4,4,2,4,4,4,4,5,2,2,5,4,4,2,1,1,1,1,1,1,1,1,2,1,1,4,4,5,5,2,4,4,4,0,0,0,0,0,4, 
89,1,5,1,1,0,6,3,1,6,0,0,1,1,99,99,99,4,4,4,4,2,2,5,4,4,4,2,5,4,2,5,2,4,2,2,4,2,4,2,2,4,4,4,4,4,5,5,1,1,4,5,4,1,1,1,1,2,1,1,1,1,1,1,4,4,1,1,2,2,0,0,0,0,0,0,0,0,0
90,1,4,1,4,0,6,2, ,9,0,0,0,2,3,4,99,4,5,4,5,5,4,5,5,4,5,5,4,4,4,4,4,5,4,5,4,5,5,5,5,4,4,4,4,2,2,4,2,2,2,5,4,1,1,1,1,1,2,1,1,1,1,1,5,4,4,4,4,4,0,4,0,0,0,0,0,5,0
91,2,10,1,1,1,6,2, ,6,0,0,1,2,99,99,99,1,4,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,3,0,0,0,0,0,0,0,0
92,2,16,1,3,1,6,3,3,9,0,0,1,1,2,3,4,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,2,1,1,2,1,4,4,4,4,4,4,0,1,0,0,0,3,1,5,0
93,2,14,1,3,1,2,1,1,10,0,0,1,3,99,99,99,4,2,2,4,2,2,2,4,4,4,2,5,5,4,4,4,2,4,2,4,4,4,2,4,2,2,2,1,2,4,2,1,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0
94,1,3,1,3,1,6,4,2,7,0,0,1,2,4,99,99,5,5,5,5,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,5,4,5,5,5,2,5,4,5,4,4,4,2,2,4,4,2,1,1,1,1,1,2,2,1,1,2,2,4,4,4,4,2,2,0,3,0,0,0,2,0,0,0
95,1,2,2,3,0,6,3,4,1,0,0,1,2,3,4,99,5,5,5,2,5,2,5,5,5,5,5,4,4,2,2,1,2,4,2,5,5,5,5,5,4,4,5,2,5,5,4,2,5,4,4,4,1,1,1,1,2,4,1,1,1,1,1,5,5,5,5,2,4,0,9,9, ,1,3,0,0,0
96,1,9,3,1,1,2,4,1,2,0,0,0,1,2,95,99,5,5,5,1,4,4,4,2,4,5,4,5,5,2,2,1,4,2,4,1,2,4,2,4,4,4,2,2,4,5,4,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,4,0,7,0,0,0,0,0,0,0
97,2,2,1,3,1,2,1,5,1,0,0,1,1,2,99,99,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,4,2,1,4,4,4,4,2,4,4,4,1,2,2,4,4,1,1,1,1,1,2,1,1,1,1,1,4,4,4,2,4,4,0, , , , , , , , 
98,1,2,1,1,0,6,4,5,1,0,0,1,2,3,99,99,5,5,4,5,2,5,5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,2,2,5,5,4,4,2,4,4,4,2,2,4,5,4,1,1,1,1,2,2,1,1,1,1,1,5,4,5,4,2,2,0,6,1,4,4,2, , , 
99,1,21,1,1,0,2,3,5,12,0,0,0,2,3,4,99,5,5,5,2,5,4,5,5,5,5,5,5,5,5,4,4,2,1,2,1,2,1,1,2,4,4,4,4,2,4,4,1,2,4,4,1,1,1,1,1,4,2,2,1,1,1,1,5,4,4,5,4,2,0, ,0,0,0,3, , , 
100,2,21,4,3,1,2,1,5,1,0,0,1,1,2,99,99,4,4,4,4,4,2,4,4,2,2,5,5,5,2,5,5,4,4,4,4,4,4,4,4,5,5,5,5,1,5,2,2,2,2,4,5,1,1,5,1,1,1,1,1,1,1,1,5,5,5,2,5,5,2, ,0,0,0, , , , 
101,2,18,2,1,1,6,1,5,7,0,0,1,1,99,99,99,1,4,1,5,5,4,5,5,4,5,1,4,4,4,2,2,4,4,4,2,2,2,2,2,2,4,2,2,4,4,4,2,4,2,4,4,1,1,1,1,1,2,1,1,1,1,1,5,4,2,2,2,2,0,0,0,0,0,2,1,5,2
102,2,5,1,1,1,2,2,3,7,0,0,1,1,2,3,4,4,2,4,1,2,5,5,5,4,5,4,5,4,2,4,4,4,4,2,2,4,2,4,4,2,4,4,4,4,4,4,2,4,2,4,2,1,1,1,1,1,2,1,1,1,1,1,4,4,4,4,1,1,0,0,0,0,0,2,0,0,0
103,2,1,1,1,1,2,1,2,10,1,0,1,1,2,3,99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,4,4,4,4,2,2,0,0,3,4, ,0,0,0,0
104,1,1,3,1,1,6,4, ,12,0,0,1,3,95,99,99,5,2,4,2,4,2,5,4,4,5,5,4,2,2,4,4,5,5,2,2,2,4,2,2,5,3,3,2,1,2,2,3,2,2,5,5,1,2,1,1,2,4,4,2,1,1,1,4,1,2,4,2,2,0,1,0,0,0,0,0,0,0
105,2,14,1,1,1,6,1, ,10,0,0,1,1,2,3,4,5,5,5,1,5,4,5,4,5,5,2,5,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,2,3,4,2,2,4,1,1,1,1,1,2,1,1,1,1,1,5,5,5,5,2,2,4,0,1,2,1,1,1,2,0
106,1,2,1,1,1, ,4,4,2,0,0,1,2,99,99,99,5,4,4,2,2,4,4,5,5,5,4,4,4,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,0,7,0,0,0,0,0,0,0
107,1,6,1,1,1,6,1,2,8,0,0,0,1,2,3,99,5,5,3,5,2,2,4,4,3,4,1,5,5,4,5,4,4,4,4,5,2,5,5,5,5,5,4,5,2,5,2,2,1,2,5,4,1,1,1,1,1,1,2,1,1,1,1,2,5,5,4,2,2,0,0,0,0,0,0,0,0,0
108,1,13,3,1,1,6,1,1,9,0,0,1,1,99,99,99,3,4,4,2,4,4,4,5,5,4,4,5,4,4,5,4,4,5,5,5,5,4,4,4,2,4,5,4,4,4,4,5,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1,4,4,4,5,4,4,2,1,0,0,0,0, , ,0
109,1,16,1,1,1,6,5,5,2,0,0,0,2,99,99,99,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,1,4,4,2,4,3,2,2,4,5,5,5,5,5,4,5,2,2,5,5,4,1,5,1,1,5,5,5,2,1,2,1,5,5,5,1,1,2,0,9,0,0,0,9,0,9,9
110,2,9,1,1,0,6,2,1,6,0,0,1,1,99,99,99,5,5,4,2,2,2,4,4,4,4,1,4,5,2,2,4,4,4,4,4,4,4,4,4,4,2,1,2,5,1,1,5,5,1,1,4,1,1,1,1,1,4,1,1,1,1,1,5,5,2,5,2,2,1,0,0,0,0,0,0,0,0
111,2,1,1,1,1,2,2,1,7,0,0,1,2,99,99,99,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,2,2,2,4,4,2,2,4,2,2,4,2,2,2,2,1,5,2,2,2,1,1,1,1,1,2,1,1,1,1,1,4,4,4,5,4,2,0,0,0,0,0,0,0,0,0
112,1,5,1,4,1,6,4,1,5,0,0,0,1,2,99,99,1,5,5,5,5,5,5,5,5,4,4,5,5,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,0,1,0,0,0,0,0,0,0
113,2,6,1,1,1,2,3,5,4,0,0,0,4,99,99,99,5,4,5,2,5,4,5,5,4,5,5,5,5,4,5,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,2,1,5,4,2,1,1,1,2,1,2,1,1,1,1,1,4,4,4,4,4,4,0,3,0,0,0, , ,5, 
114,2,1,2,3,1,6,1,5,1,1,0,1,2,4,95,99,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,1,1,1,1,1,2,4,1,1,1,1,5,5,5,5,2,4,4,3,0,0,0,1,0,3,3
115,2,19,1,1,1,6,1,1,7,0,0,1,3,4,99,99,4,5,5,4,5,4,4,5,4,4,4,5,5,5,4,4,4,4,5,4,4,5,4,4,2,4,4,2,2,5,5,2,5,2,4,4,1,1,1,1,1,2,1,1,1,1,1,4,5,5,2,2,5,0,2,0,0,0,1,0,0,9
116,1,20,1,1,1,6,1,2,6,0,0,1,1,2,4,99,4,5,5,2,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,4,5,4,4,4,5,5,4,4,4,4,4,4,4,1,1,1,1,1,3,1,1,1,1,1,4,4,4,4,2,2,0,0,2,4,2,2,2,2,1
117,2,1,1,1,1,2,2,5,9,0,0,1,95,99,99,99,4,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,4,1,4,5,5,5,5,5,1,4,5,5,2,5,5,2,5,2,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,5,0,0,3,4,1,2,0,7,0
118,2,5,1,1,1,2,1, ,11,0,0,0,95,99,99,99,5,4,4,2,2,4,4,4,2,4,1,5,5,5,2,5,1,4,4,4,4,4,4,4,2,2,4,2,2,4,2,4,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,2,0,0,1,1,1,1,0,0,0
119,1,14,1,1,0,6,3,3,3,1,1,1,2,99,99,99,2,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,4,3,4,3,5,5,5,2,4,5,4,2,4,5,1,4,2,4,4,5,1,1,1,2,3,1,1,2,1,1,5,5,5,5,4,4,4,0,1,1,4,0,0,0,0
120,1,20,1,1,0,2,4,5,7,0,0,1,2,4,99,99,1,1,2,2,2,4,4,4,5,5,1,5,1,5,1,5,1,5,5,5,2,1,1,5,5,5,5,2,4,2,2,4,5,4,4,2,1,1,1,1,1,5,1,1,1,1,1,5,5,5,5,5,4,0,0,3,4,3,6,5,9,1
121,2,13,1,1,1,2,3,3,1,0,0,1,95,99,99,99,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,2,2,2,4,4,4,2,4,3,4,4,4,2,5,5,1,1,2,5,2,1,1,1,1,1,2,1,1,1,1,1,3,4,5,5,2,5,4,0,1,4,2,2,0,0,0
122,2,11,1,3,0,6,2,2,1,0,0,1,95,99,99,99,1,5,2,2,2,2,5,5,5,4,5,5,5,2,5,5,4,5,5,5,4,4,5,5,4,4,4,4,4,5,2,1,2,4,4,5,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,2,0,0,0,0, , , , 
123,1,3,3,3,1,6,1,1,6,0,0,1,2,99,99,99,1,2,5,2,4,4,4,4,3,2,1,3,3,1,2,2,3,4,4,4,4,2,5,3,3,4,4,3,3,3,3,4,5,3,1,2,1,1,1,1,1,1,2,1,1,1,1,5,4,4,2,2,3,2,1,0,0,0,0,0,0,0
124,1,2,4,1,1,6,4,5,1,0,1,0,3,4,99,99,5,4,5,5,4,5,5,5,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,1,4,1,5,1,4,5,1,5,1,1,4,4,4,5,4,2,1,6,0,0,0,3,0,0,0
125,1,13,1,1,1,6,3,5,6,0,0,0,95,99,99,99,4,4,5,2,4,5,2,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,2,2,2,2,2,4,1,1,1,1,2,2,2,1,1,1,1,4,2,4,4,4,4,0,0,0,0,0,0,0,1, 
126,2,13,1,1,1,2,2,1,10,0,0,0,3,99,99,99,3,2,4,2,5,1,5,5,1,4,5,4,5,4,4,2,4,5,5,5,4,5,4,4,4,1,2,1,5,5,4,4,5,5,2,2,2,1,1,1,1,2,1,1,1,1,1,4,5,5,5,2,4,0,1,0,0,0,0,0,0,0
127,2,10,2,1,1,2,3,1,5,1,0,0,1,99,99,99,5,4,4,2,4,4,4,4,2,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,2,2,4,4,4,2,4,4,1,1,1,1,1,4,1,1,1,1,1,4,4,5,5,5,2,4,0,0,0,0,0,0,0,0
128,1,4,2,1,1,6,2, ,1,0,0,1,2,99,99,99,5,5,4,4,5,4,5,5,5,5,4,5,5,4,3,4, , , , , ,4,5,5,3,4,4,1,1,3,2,3,1,5,2,3,1,1,1,1,1,1,1,1,1,1,1,3,4,5,5,4,4,2,0,0,0,0,0,1,0,0
129,1,6,2,4,1,6,1, ,5,0,0,1,1,99,99,99,5,2,5,2,5,4,4,5,4,5,4,4,4,5,4,4,4,4, ,2,4, ,4, ,1,4,2,2,1,5,4,4,2,4,4,4,1,1,1,1,1,2,1,1,1,1,1,4,2,5,4,2,4,4,1,0,0,0,0,0, , 
130,1,6,4,1,1,4,1, ,12,0,0,1,1,2,3,4,5,2,1,2,2,2,2,2,2,2,1,4,5,2,2,5,5,5,5,5,5,5,5,5,2,2,2,2,1,5,5,4,5,2,2,2,1,1,1,1,1,2,4,1,1,1,1,2,5,5,2,2,2,0, ,0,0,0, , , , 
131,2,2,3,3,1,6,4,5,12,0,0,1,3,99,99,99,5,5,5,2,2,4,5,5,1,5,5,2,4,1,5,1,5,5,4,5,5,2,5,4,5,5,5,2,5,5,4,1,4,5,4,4,1,1,1,1,5,5,5,1,1,1,1,5,4,5,2,2,3,0,6,0,0,0,0,0,0,0
132,1,19,2,3,1,5,4,5,12,0,0,1,1,2,3,99,5,4,4,1,4,5,5,5,5,5,5,5,5,3,2,5,3,1,1,1,1,3,3,1,5,4,4,4,4,4,4,2,1,4,4,4,1,1,1,1,1,5,1,1,1,1,1,4,4,4,4,3,4,0,9,0,0,0,5,0,0,0
133,1,13,1,1,1,6,1,5,6,0,0,1,2,4,99,99,3,2,2,5,5,4,5,5,2,4,4,4,4,1,4,4,5,5,5,5,4,5,4,5,2,4,2,2,4,5,5,4,4,2,4,4,1,1,1,1,5,1,1,1,2,1,1,4,5,4,4,4,4,4,1,0,0,0,0,0,4,0
134,2,5,3,1,1,2,2, ,10,0,0,0,1,4,99,99,4,4,4,2,2,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,2,4,4,4,1,1,1,1,1,5,1,1,1,1,1,5,5,5,4,2,2,0, ,0,0,0,0,0,0,0
135,2,12,2,1,1,6,1,1,6,0,0,0,1,2,99,99,4,4,4,5,2,5,5,5,5,5,4,5,5,2,4,1,4,4,4,4,4,2,4,4,4,5,5,5,5,4,5,1,1,5,5,5,1,1,1,2,1,1,1,1,1,1,1,4,4,4,5,2,3,4,0,0,0,0,0,0,0,0
136,2,2,2,1,1,2,1, ,10,0,0,1,1,99,99,99,5,5,5,2,2,4,4,5,5,5,4,5,5,5,2,5,5,4,4,4,4,4,2,2,5,5,5,4,4,5,4,4,4,5,5,2,1,1,1,1,1,1,1,1,1,1,1,5,4,4,5,2,4,0,0,0,0,0,0,0,0, 
137,1,16,1,1,0,6,3, ,5,0,0,0,2,99,99,99,2,1,2,1,5,4,4,5,4,5,4,5,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,5,4,1,1,1,1,1,4,2,1,1,1,1,5,4,4,4,4,4,4,2,0,0,0,3,0,5,1
138,1,20,2,1,1,6,5,2,1,0,0,1,2,3,4,99,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,2,1,4,4,2,1,1,1,1,1,4,5,1,1,1,1,5,4,5,4,2,4,3,6,0,0,0,0,0,5,2
139,2,5,2,1,1,6,1, ,10,0,0,1,1,99,99,99,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4, ,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,1,1,1,1,1,4,4,5,5,2, ,0,0,0,0,0,0,0,0,0
140,1,12,1,1,0,6,3,3,6,0,0,1,1,2,99,99,1,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1,2,1,4,4,4,2,2,4,0,1,0,0,0,0,0,0,0
141,1,2,1,1,1,2,1,3,8,0,0,1,2,99,99,99,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,2,2,2,2,1,5,1,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,3,0,0,0,0,0,0,0,0,0
142,2,20,2,1,1, ,5,4,2,0,0,0,3,99,99,99,4,5,5,4,2,4,5,5,5,5,5,5,5,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,5,4,4,1,1,1,1,1,2,2,1,1,1,1,5,5,5,5,5,5,4,3,0,0,0,4,0,3,2
143,1,13,1,1,1,6,1, ,7,0,0,1,3,99,99,99,1,4,4,2,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,2,2,2,4,4,1,1,1,1,1,2,1,1,1,1,1,4,5,4,5,2,4,0,0,0,0,0,1,1,0,0
144,1,17,3,1,1,6,1, ,7,0,0,0,1,99,99,99,4,4,4,5,5,4,4,4,4,4,4,4,4,2,4,2,5,5,4,4,4,4,3,5,4,4,5,4,4,3,2,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,2,4,0,0,0,0,0,0,0,0,0
145,2,3,1,1,1,6,2, ,1,1,0,1,2,4,99,99,4,4,5,2,4,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,1,1,5,5,2,2,1,1,1,1,2,1,1,1,1,1,4,4,4,4,1,1,4, ,0,0,0, , ,0,0
146,2,5,1,3,0,2,1, ,7,0,0,1,2,4,99,99,1,4,2,2,2,5,5,4,5,5,2,5,5,4,2,2,1,2,5,4,4,4,1,4,4,4,4,4,2,4,4,4,2,4,4,4,1,2,1,1,1,1,1,1,1,1,1,4,4,4,1,1,2,0,0,0,0,0,0,1,0,0
147,1,3,3,2,1,2,4,1,2,0,0,0,95,99,99,99,4,5,5,5,5,5,4,4,4,4,5,5,5,2,5,2,4,4,5,5,4,4,5,5,2,4,4,4,5,5,4,2,4,4,4,4,1,3,1,1,3,4,1,1,1,2,1,4,4,4,5,4,2,0, ,0,0,0,0,0,4, 
148,1,10,3,1,1,6,3,1,1,0,0,0,1,2,99,99,5,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,0,0,0,0,0,0,0,0,0
149,2,2,2,1,1,2,4,3,12,0,0,1,2,99,99,99,5,4,4,2,2,4,5,5,4,5,4,5,5,4,5,2,4,4,4,5,4,4,4,4,2,4,5,2,2,5,4,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,2,4,0,2,2,4,3,1,0,3,1
150,1,6,3,1,0,2,4,1,6,0,0,0,95,99,99,99,1,2,5,1,5,2,1,2,4,4,2,2,4,1,2,5,5,5,5,5,5,5,5,5,1,5,4,1,2,5,5,2,5,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,5,4,4,0, ,0,0,0, , ,5,9
151,1,9,1,1,0,6,3,2,7,0,0,0,3,99,99,99,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,4,2,5,5,4,5,4,4,4,1,2,1,4,5,4,4,1,1,1,1,1,2,1,1,1,1,1,5,5,5,4,2,4,0, ,0,0,0,2, ,0,0
152,2,1,3,1,1,6,1,1,10,0,0,1,95,99,99,99,5,5,5,1,5,5,5,5,5,5,2,5,5,2,5,4,5,5,5,5,5,5,5,5,5,2,2,4,1,5,5,1,5,5,3,1,1,1,1,1,1,4,5,1,1,1,1,4,4,5,5,1,2,0,1,0,0,0,0,0,0,0
153,1,14,1,1,1, ,1,5,8,0,0,1,2,3,4,99,5,5,4,5,4,5,4,4,4,4,4,5,4,2,4,2,4,4,4,5,5,5,5,5,4,4,5,4,2,4,4,2,4,2,2,2,1,1,1,1,1,5,1,1,1,1,1,5,5,5,4,4,4,4,0,0,0,0, , , , 
154,1,16,1,1,1,6,4,5,11,0,0,1,3,99,99,99,2,5,5,5,4,5,5,5,5,4,4,5,5,4,5,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,4,4,2,4,4,4,1,1,1,1,1,2,1,1,2,1,1,4,4,4,4,2,4,2,3,0,0,0,4,3,3,2
155,2,20,1,1,1, ,4,1,1,0,0,1,3,99,99,99,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,1,1,1,1,1,2,1,1,1,1,1,5,5,5,5,2,2,2,1,0,0,0,4,0,5,0
156,1,12,1,1,0,6,2,2,6,0,0,1,1,99,99,99,4,4,4,2,4,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,4,4,2,5,4,4,5,4,4,4,4,4,4,4,4,4,1,2,1,1,1,2,1,1,1,1,1,4,4,4,4,2,4,0,0,0,0,0,0,0,0,0
157,1,5,1,1,1,6,3,2,3,0,0,1,1,99,99,99,1,4,4,5,4,4,4,4,4,4,4,4,4,1,4,4,1,1,1,4,1,1,4,4,2,4,4,4,4,5,4,4,5,4,4,4,1,1,1,1,1,2,1,1,1,1,1,4,4,4,2,4,4,0, , , , , , , , 
158,1,18,1,1,0,6,1,5,1,0,0,1,2,99,99,99,1,5,1,1,2,5,5,5,5,5,5,5,5,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,4,4,5,5,1,1,1,1,1,1,5,1,1,1,1,5,5,5,5,1,2,0,2,0,0,0, , ,5,0
159,1,11,3,3,0,6,1,2,6,1,0,0,2,99,99,99,5,2,4,2,5,5,4,4,4,5,4,4,5,4,4,5,2,4,4,4,4,4,2,2,2,4,4,2,4,4,4,2,4,2,2,4,1,1,1,1,1,2,2,1,1,1,1,5,5,4,4,1,2,4,1,0,0,0,3,0,0,0
160,2,20,2,3,1,6,1,1,10,0,0,0,2,99,99,99,5,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,4,4,4,4,2,2,0,0,0,0,0,1,1, ,0
161,2,9,1,1,1,2,4,2,10,0,0,1,3,99,99,99,5,5,5,4,4,4,5,5,5,5,4,5,5,4,5,2,4,1,4,2,2,4,4,1,2,4,4,4,4,5,4,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,1,1,0,3,0,0,0,2,0,3,0
162,1,6,2,1,1,2,3,3,1,0,0,1,1,3,99,99,5,5,5,2,1,4,4,4,4,4,5,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2,4,5,4,2,2,4,4,4,1,1,1,1,4,4,1,1,2,1,2,4,4,4,4,2,3,0,2,0,0,0,9,0,0,0
163,1,11,2,1,1,6,1,1,8,0,0,1,1,99,99,99,5,4,5,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,1,2,4,4,2,4,4,4,2,4,4,2,4,4,2,4,1,1,1,1,1,2,2,1,1,1,1,4,4,4,4,2,3,4,0,0,0,0,1,0,3,1
164,2,2,1,3,1, ,3,5,2,0,0,1,1,2,3,99,5,4,5,2,4,5,5,2,4,4,4,4,5,2,2,2,4,4,2,4,4,5,4,4,4,5,4,5,2,5,4,2,4,4,5,4,1,1,1,1,1,4,2,1,2,2,2,4,4,4,4,2,2,0,3,0,0,0,4,0,0,0
165,1,13,4,1,1,6,1,3,6,0,0,1,1,2,99,99,5,4,4,1,4,2,2,2,2,1,4,5,5,2,2,1,2,2,2,2,4,5,2,2,4,2,4,2,2,5,2,5,5,2,5,4,1,1,1,1,1,1,2,1,1,1,1,4,5,4,2,4,2,0,0,0,0,0,0,0,0,0
166,2,6,2,3,1,4,4,2,4,0,0,0,3,99,99,99,5,5,5,1,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,4,4,4,4,4,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,2,2,4,1,1,4,2,2,0,5,3
167,2,18,2,1,1,6,1,1,10,0,0,1,95,99,99,99,5,4,4,1,2,2,4,4,4,5,1,5,5,1,1,2,4,4,5,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,2,2,0,0,0,0,0,0,0,0,0
168,2,19,1,3,1,1,1,5,10,0,0,1,1,99,99,99,5,4,5,2,4,4,4,4,4,4,2,5,4,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,2,5,5,2,1,2,4,4,1,1,1,1,1,2,1,1,1,1,1,4,4,5,2,2,2,4,2,0,0,0, , ,3, 
169,1,14,3,1,1,6,4,4,1,0,0,1,95,99,99,99,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,4,5,5,2,5,5,4,4,4,4,5,4,1,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,4,0,0,2,4,2,7,0, , 
